,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
7:30 AM to 8:00 AM,0,0,0,0,0,
8:00 AM to 8:30 AM,0,0,0,0,0,
8:30 AM to 9:00 AM,0,0,0,0,0,
9:00 AM to 9:30 AM,0,0,0,0,0,
9:30 AM to 10:00 AM,0,0,0,0,0,
10:00 AM to 10:30 AM,0,0,0,0,0,0
10:30 AM to 11:00 AM,0,0,0,0,0,0
11:00 AM to 11:30 AM,0,0,0,0,0,0
11:30 AM to 12:00 PM,0,0,0,0,0,0
12:00 PM to 12:30 PM,0,0,0,0,0,0
12:30 PM to 1:00 PM,0,0,0,0,0,0
1:00 PM to 1:30 PM,0,0,0,0,0,0
1:30 PM to 2:00 PM,0,0,0,0,0,0
2:00 PM to 2:30 PM,0,0,0,0,0,
2:30 PM to 3:00 PM,0,0,0,0,0,
3:00 PM to 3:30 PM,0,0,0,0,0,
3:30 PM to 4:00 PM,0,0,0,0,,
4:00 PM to 4:30 PM,0,0,0,0,,
4:30 PM to 5:00 PM,0,0,0,0,,
5:00 PM to 5:30 PM,0,0,0,0,,
5:30 PM to 6:00 PM,0,0,0,0,,
6:00 PM to 6:30 PM,0,0,0,0,,
6:30 PM to 7:00 PM,0,0,0,0,,
7:00 PM to 7:30 PM,0,0,0,0,,
7:30 PM to 8:00 PM,0,0,0,0,,
8:00 PM to 8:30 PM,0,0,0,0,,
8:30 PM to 9:00 PM,0,0,0,0,,
